,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
71,Arraial Do Cabo,BR,-22.97,-42.03,69.8,88,0,6.93,clear sky,0.0,0
72,Bandarbeyla,SO,9.49,50.81,82.47,60,100,25.26,overcast clouds,0.0,0
73,Kovdor,RU,67.57,30.48,41.41,81,0,3.09,clear sky,0.0,0
74,Yellowknife,CA,62.46,-114.35,75.2,23,20,13.87,few clouds,0.0,0
75,Cherskiy,RU,68.75,161.3,81.84,26,0,5.55,clear sky,0.0,0
76,Bathsheba,BB,13.22,-59.52,78.8,88,75,6.93,light intensity shower rain,0.0,0
77,East London,ZA,-33.02,27.91,66.97,32,0,9.51,clear sky,0.0,0
78,Dunedin,NZ,-45.87,170.5,53.01,66,30,10.0,scattered clouds,0.0,0
79,Baghdad,IQ,33.34,44.4,80.6,28,0,4.7,clear sky,0.0,0
80,Hobart,AU,-42.88,147.33,53.01,87,40,4.7,scattered clouds,0.0,0
81,Kruisfontein,ZA,-34.0,24.73,61.65,32,0,16.08,clear sky,0.0,0
82,Krasnoselkup,RU,65.7,82.47,47.82,67,100,9.28,moderate rain,1.69,0
83,Moerai,PF,-22.43,-151.33,71.28,80,61,18.03,broken clouds,0.0,0
84,Camacha,PT,33.08,-16.33,68.0,77,20,9.17,few clouds,0.0,0
85,Mount Gambier,AU,-37.83,140.77,48.2,93,40,13.87,scattered clouds,0.0,0
86,Cockburn Town,TC,21.46,-71.14,82.6,81,0,20.24,clear sky,0.0,0
87,Mahebourg,MU,-20.41,57.7,71.6,68,40,14.99,scattered clouds,0.0,0
88,Ahuimanu,US,21.44,-157.84,84.2,61,75,14.99,broken clouds,0.0,0
89,Kavaratti,IN,10.57,72.64,84.11,74,100,13.89,overcast clouds,0.0,0
90,Nieuw Nickerie,SR,5.95,-56.98,79.2,86,15,9.71,few clouds,0.0,0
91,Ancud,CL,-41.87,-73.82,48.0,100,75,8.05,broken clouds,0.0,0
92,Port Lincoln,AU,-34.73,135.87,54.97,64,77,22.17,light rain,0.13,0
93,Merauke,ID,-8.47,140.33,80.65,77,34,14.88,scattered clouds,0.0,0
94,Gazli,UZ,40.13,63.45,76.39,18,0,6.46,clear sky,0.0,0
95,Tuktoyaktuk,CA,69.45,-133.04,48.2,70,90,12.75,overcast clouds,0.0,0
96,Majene,ID,-3.54,118.97,81.54,79,94,13.85,overcast clouds,0.0,0
97,Bredasdorp,ZA,-34.53,20.04,51.8,93,6,7.02,clear sky,0.0,0
98,Fukue,JP,32.69,128.84,71.6,83,75,11.41,broken clouds,0.0,0
99,San Ignacio,BZ,17.16,-89.07,80.6,88,75,4.7,broken clouds,0.0,0
100,Dwarka,IN,22.24,68.97,85.66,80,3,16.28,clear sky,0.0,0
101,Constitucion,CL,-35.33,-72.42,53.74,92,91,7.36,light rain,0.14,0
102,Turukhansk,RU,65.82,87.98,57.54,90,100,7.67,light rain,0.42,0
103,Cuamba,MZ,-14.8,36.54,56.7,94,86,5.84,overcast clouds,0.0,0
104,Licheng,CN,23.3,113.83,87.01,66,75,5.86,broken clouds,0.0,0
105,Umba,RU,66.69,34.34,44.65,75,51,4.25,broken clouds,0.0,0
106,Acapulco,MX,16.86,-99.89,86.0,74,40,9.17,scattered clouds,0.0,0
107,Chokurdakh,RU,70.63,147.92,89.71,18,94,13.09,overcast clouds,0.0,0
108,Magistralnyy,RU,56.17,107.45,66.29,49,100,2.19,overcast clouds,0.0,0
109,Sovetskiy,RU,61.36,63.58,52.3,77,100,8.75,light rain,0.14,0
110,Tazmalt,DZ,36.39,4.4,64.4,82,40,4.7,scattered clouds,0.0,0
111,Ilesha,NG,7.14,5.26,71.02,98,27,2.53,scattered clouds,0.0,0
112,Talnakh,RU,69.49,88.4,44.6,93,75,13.42,broken clouds,0.0,0
113,Port Augusta,AU,-32.5,137.77,55.4,76,45,12.75,scattered clouds,0.0,0
114,Sobolevo,RU,54.43,31.9,60.73,82,81,1.3,broken clouds,0.0,0
115,Igrim,RU,63.19,64.42,52.45,60,100,8.37,overcast clouds,0.0,0
116,Disna,BY,55.57,28.2,63.25,90,76,3.31,broken clouds,0.0,0
117,Erbaa,TR,40.67,36.57,66.2,82,75,3.36,broken clouds,0.0,0
118,San Quintin,MX,30.48,-115.95,66.7,69,0,12.19,clear sky,0.0,0
119,Upernavik,GL,72.79,-56.15,39.52,72,33,6.8,scattered clouds,0.0,0
120,Narsaq,GL,60.92,-46.05,42.8,70,99,9.17,overcast clouds,0.0,0
121,Benicarlo,ES,40.42,0.43,60.01,92,0,3.49,clear sky,0.0,0
122,Carnarvon,AU,-24.87,113.63,57.2,76,0,2.24,clear sky,0.0,0
123,Ust-Nera,RU,64.57,143.2,79.23,31,0,2.04,clear sky,0.0,0
124,Castelo Do Piaui,BR,-5.32,-41.55,73.45,80,0,4.56,clear sky,0.0,0
125,Norman Wells,CA,65.28,-126.83,78.8,36,75,4.7,broken clouds,0.0,0
126,Hofn,IS,64.25,-15.21,51.84,82,100,13.0,overcast clouds,0.0,0
127,Tomelloso,ES,39.15,-3.02,66.79,38,0,4.03,clear sky,0.0,0
128,Oistins,BB,13.07,-59.53,78.8,88,75,6.93,light intensity shower rain,0.0,0
129,Bilma,NE,18.69,12.92,83.68,15,81,2.19,broken clouds,0.0,0
130,San Nicolas,PH,18.17,120.6,86.0,70,20,1.34,few clouds,0.0,0
131,Papar,MY,5.73,115.93,82.4,88,20,1.86,thunderstorm,0.0,0
132,Provideniya,RU,64.38,-173.3,60.39,37,0,6.38,clear sky,0.0,0
133,Mamakan,RU,57.82,114.0,69.71,53,0,1.66,clear sky,0.0,0
134,Morrope,PE,-6.54,-80.01,64.4,82,75,21.92,broken clouds,0.0,0
135,Umm Lajj,SA,25.02,37.27,76.89,77,5,4.12,clear sky,0.0,0
136,Asyut,EG,27.18,31.18,73.4,43,0,11.41,clear sky,0.0,0
137,Yahotyn,UA,50.28,31.76,62.6,88,20,6.71,few clouds,0.0,0
138,Salinopolis,BR,-0.61,-47.36,78.51,87,79,10.42,light rain,0.24,0
139,Leh,IN,34.17,77.58,48.34,50,6,6.49,clear sky,0.0,0
140,Kyshtovka,RU,56.55,76.63,41.43,86,0,5.26,clear sky,0.0,0
141,America Dourada,BR,-11.46,-41.44,64.78,78,0,8.72,clear sky,0.0,0
142,Vila,PT,42.03,-8.16,52.0,87,0,0.89,clear sky,0.0,0
143,Puerto Escondido,MX,15.85,-97.07,84.2,70,75,6.93,broken clouds,0.0,0
144,Coahuayana,MX,18.73,-103.68,82.4,58,20,13.87,smoke,0.0,0
145,Barrow,US,71.29,-156.79,41.0,75,1,6.93,clear sky,0.0,0
146,Olafsvik,IS,64.89,-23.71,49.75,74,100,15.14,overcast clouds,0.0,0
147,Sioux Lookout,CA,50.1,-91.92,60.8,63,75,3.36,broken clouds,0.0,0
148,Marsa Matruh,EG,31.35,27.25,68.0,82,0,6.93,clear sky,0.0,0
149,Klaksvik,FO,62.23,-6.59,50.0,100,100,20.8,overcast clouds,0.0,0
150,Comodoro Rivadavia,AR,-45.87,-67.5,51.8,43,62,23.04,broken clouds,0.0,0
