City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Jalu,LY,2020-06-17 22:47:04,29.03,21.55,70.47,61,0,11.92
70,Puerto Cabezas,NI,2020-06-17 22:47:05,14.04,-83.39,86.0,79,40,6.93
71,Saint-Augustin,CA,2020-06-17 22:47:05,51.23,-58.65,58.78,77,100,12.19
72,Mayumba,GA,2020-06-17 22:47:06,-3.43,10.66,72.27,91,57,2.17
73,Dutse,NG,2020-06-17 22:47:06,11.76,9.34,81.77,57,100,4.29
74,Hope,US,2020-06-17 22:47:07,33.67,-93.59,91.0,40,69,3.0
75,Taketa,JP,2020-06-17 22:47:08,32.97,131.38,64.99,89,100,2.86
76,Sao Filipe,CV,2020-06-17 22:47:08,14.9,-24.5,75.65,80,2,11.34
77,Carballo,ES,2020-06-17 22:47:09,43.21,-8.69,55.99,89,21,1.25
78,Esperance,AU,2020-06-17 22:47:09,-33.87,121.9,51.8,100,90,17.22
79,Port Alfred,ZA,2020-06-17 22:47:10,-33.59,26.89,54.0,86,0,3.0
80,Broome,US,2020-06-17 22:47:11,42.25,-75.83,79.0,31,1,4.7
81,Ankazoabo,MG,2020-06-17 22:47:12,-22.28,44.52,57.16,68,0,6.22
82,Faanui,PF,2020-06-17 22:47:12,-16.48,-151.75,81.5,77,100,6.78
83,Ossora,RU,2020-06-17 22:47:14,59.24,163.07,52.9,84,100,4.72
84,Tongliao,CN,2020-06-17 22:47:14,43.61,122.27,69.51,56,88,9.17
85,Coahuayana,MX,2020-06-17 22:47:15,18.73,-103.68,87.8,58,40,11.41
86,Vanimo,PG,2020-06-17 22:47:15,-2.67,141.3,80.78,79,8,4.88
87,Puerto Ayora,EC,2020-06-17 22:47:15,-0.74,-90.35,68.0,97,76,8.99
88,Iguatemi,BR,2020-06-17 22:47:16,-23.68,-54.56,70.29,70,87,10.36
89,Ancud,CL,2020-06-17 22:47:16,-41.87,-73.82,51.01,87,20,13.87
90,Turayf,SA,2020-06-17 22:47:17,31.67,38.66,75.2,36,0,9.17
91,Hollins,US,2020-06-17 22:47:17,37.34,-79.94,66.2,88,90,6.93
92,Shostka,UA,2020-06-17 22:47:17,51.86,33.47,65.39,88,9,11.03
93,Moissac,FR,2020-06-17 22:47:18,44.1,1.09,57.2,82,30,5.82
94,Riyadh,SA,2020-06-17 22:46:03,24.69,46.72,87.8,22,25,3.36
95,Hithadhoo,MV,2020-06-17 22:47:19,-0.6,73.08,84.11,74,49,7.0
96,Pittsburg,US,2020-06-17 22:47:19,38.03,-121.88,89.01,15,1,6.93
97,Vaini,TO,2020-06-17 22:47:20,-21.2,-175.2,75.2,69,20,2.24
98,Lorengau,PG,2020-06-17 22:47:20,-2.02,147.27,83.73,78,25,11.18
99,Port Blair,IN,2020-06-17 22:47:21,11.67,92.75,82.99,81,100,10.71
100,Chute-Aux-Outardes,CA,2020-06-17 22:47:21,49.12,-68.4,71.6,43,1,26.4
101,Barrow,US,2020-06-17 22:47:22,71.29,-156.79,42.8,70,1,13.87
102,Plettenberg Bay,ZA,2020-06-17 22:47:24,-34.05,23.37,61.3,43,0,7.54
103,Jardim,BR,2020-06-17 22:47:24,-21.48,-56.14,74.59,51,96,8.46
104,Tres Arroyos,AR,2020-06-17 22:47:25,-38.37,-60.28,55.47,96,99,7.34
105,Rabak,SD,2020-06-17 22:47:26,13.18,32.74,88.7,45,86,11.79
106,Mahebourg,MU,2020-06-17 22:47:26,-20.41,57.7,69.8,88,75,19.46
107,Sitka,US,2020-06-17 22:47:26,57.05,-135.33,55.4,71,90,4.7
108,Kamenka,RU,2020-06-17 22:47:27,51.32,42.77,64.0,76,0,6.17
109,Moncton,CA,2020-06-17 22:47:27,46.12,-64.8,80.6,32,75,14.99
110,Teya,RU,2020-06-17 22:47:28,60.38,92.63,53.64,61,0,3.09
111,Cidreira,BR,2020-06-17 22:47:28,-30.18,-50.21,65.01,85,15,11.14
112,Ubinskoye,RU,2020-06-17 22:47:28,55.31,79.68,49.42,88,11,4.45
